sku,name,barcode,shortDescription,costPrice,mainPrice,wholesalePrice,wholesaleBoxQuantity,categoryId,brandId,stock_showroom,stock_الصالة
PROD202512029893a74e,bayshield ???? ?????? ???,,,1.25,2,1.75,1,??????,bchara ghostin,25,0
190549,brix big shark ???? ???? ????,,,42,50,47,1,??????,bchara ghostin,3,0
59079750,brix small shark ???? ????,,,6.25,8,7.2,1,??????,bchara ghostin,3,0
566360820,BRV-PUW010 ?????? ???? ???,,,1.9,3.5,3.2,1,??????,bchara ghostin,3,0
14594963,BRV-PUW010 ?????? ???? ?????,,,7.5,10,9,1,??? PW,ritver,30,0
799628802,BRV-PUW020 ?????? ????? ???,,,2.5,4,3.5,1,??? PW,ritver,12,0
9466319,BRV-PUW020 ?????? ????? ?????,,,7.5,10,9,1,??? PW,ritver,10,0
642431920,CBM2000-1 ???? ???? ???? ??? ?????,,,2.5,4,3.5,1,??? PW,ritver,7,0
5547068,CBM2000-5 ???? ???? ???? ??? ???,,,12.68,20,17,1,????,ritver,4,0
90172689,CP001 ???? 50 % ?? ???,,,48.1,80,70,1,????,ritver,2,0
41166,CP001 ???? 50 % ?? ?????,,,38,58.5,55,1,???????,ritver,1,0
972952,CP002S ???? ?????,,,8,13.5,12,1,???????,ritver,16,0
1572142,CP004-2.5LT ???? 50% ?????,,,10,17,14,1,???????,ritver,2,0
279066,CP016/805 ???? 50 %  ?????,,,11,18.5,15,1,???????,ritver,2,0
808564110,CP016-12.5LT ???? 50% ???,,,9,15,12,1,???????,ritver,3,0
17171,CP016-2.5LT ???? 50% ?????,,,30,46,42,1,???????,ritver,2,0
425905,CP016LB ???? 50 % ???,,,6.5,11,9,1,???????,ritver,5,0
57131500,Elastocryl700 ???? ???? ???? ???,,,39,60,55,1,???????,ritver,1,0
332867,Elastocryl700 ???? ???? ???? ?????,,,45.5,75,65,1,????,ritver,2,0
648912907,Elastocryl700 ???? ???? ???? ????,,,12.35,21,19,1,????,ritver,4,0
PROD2025122641117938,Elastocryl900 A+B ???? ???? ?????? ???,,,3.9,6,5.5,1,????,ritver,8,0
PROD20251226eea69df2,Elastocryl900 A+B ???? ???? ?????? ?????,,,71.5,120,100,1,????,ritver,2,0
5204856030289,grout bag isomat ???? ?????,,,19.5,33,30,1,????,ritver,6,0
513651,NB110 ???? ???? ???? LT1,,,16,23,22,1,??????,bchara ghostin,0,0
4183,NB110 ???? ???? ???? ?????,,,3.58,6,5,1,???? ???? N,ritver,6,0
4317085,NB111-686 LEB ???? ???? ??? ?????,,,12.35,21,19,1,???? ???? N,ritver,4,0
25850,NB111-686 LEB ???? ???? ??? ????,,,12.35,21,19,1,???? ???? N,ritver,2,0
4762998,NB112 ??? ???? ???? 1 ???,,,3.58,6,5,1,???? ???? N,ritver,3,0
67070568,NB112 ??? ???? ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
7171838,NB120 ???? ???? ???? ?????,,,13.65,24,21,1,???? ???? N,ritver,4,0
85806,NB120 ???? ???? ???? ????,,,12.35,21,19,1,???? ???? N,ritver,4,0
91647,NB127  ???? ???? ???? ?????,,,3.58,6,5,1,???? ???? N,ritver,6,0
231575728,NB127  ???? ???? ???? ????,,,12.35,21,19,1,???? ???? N,ritver,2,0
5205423098084,neotex pu fibre ?????,,,3.58,6,5,1,???? ???? N,ritver,3,0
675870369,NT1210 ??? ???? 10% ???? 1????,,,23,30,27,1,????,bchara ghostin,3,0
305136,NT1210 ??? ???? 10% ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
4761014826,NT1230 ??? ???? 30% ???? ?????,,,13.65,24,21,1,???? ???? N,ritver,4,0
54025938,NT1230 ??? ???? 30% ???? ????,,,13.65,24,21,1,???? ???? N,ritver,4,0
411306,NT1250 ??? ???? 50% ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
375993817,NT1250 ??? ???? 50% ???? ????,,,13.65,24,21,1,???? ???? N,ritver,4,0
73151020,NT1299 ??? ???? ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
4152456,NT1299 ??? ???? ???? ????,,,13.65,24,21,1,???? ???? N,ritver,4,0
80180,NT1310 ???? ???? ???? 10% ???? LT1,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
29134846,NT1310 ???? ???? ???? 10% ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
7984442354,NT1330 ???? ???? ???? 30% ???? LT1,,,13.65,24,21,1,???? ???? N,ritver,4,0
3748,NT1330 ???? ???? ???? 30% ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
7821462452,NT1350 ???? ???? ???? 50% ???? LT1,,,13.65,24,21,1,???? ???? N,ritver,4,0
794943038,NT1350 ???? ???? ???? 50% ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
9645665,NT1399 ???? ???? ???? ???? ?????,,,13.65,24,21,1,???? ???? N,ritver,3,0
52510337,NT1399 ???? ???? ???? ???? ????,,,13.65,24,21,1,???? ???? N,ritver,4,0
21069,NT1399 ???? ???? ???? ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,6,0
242858,NT1399 ???? ???? ???? ???? ????,,,13.65,24,21,1,???? ???? N,ritver,2,0
875766,NT1399 ???? ???? ???? ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,3,0
79051297,NT1399 ???? ???? ???? ???? ?????,,,13.65,24,21,1,???? ???? N,ritver,2,0
21986047,NT1399 ???? ???? ???? ???? ????,,,13.65,24,21,1,???? ???? N,ritver,1,0
7214622801,NT1399 ???? ???? ???? ???? ????? U,,,3.9,6,5.5,1,???? ???? N,ritver,3,0
911907,NT1399 ???? ???? ??????? ???? ?????,,,13.65,24,21,1,???? ???? N,ritver,2,0
77967,NT1399 ???? ???? ??????? ???? ????,,,13.65,24,21,1,???? ???? N,ritver,2,0
2977578,NT1399 ???? ???? ????? ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,3,0
591499,nt1399-green-1kg,,,13.65,24,21,1,???? ???? N,ritver,1,0
3424202164,NT1410 ???? ???? ???? 10% ???? ?????,,,3.9,6,5.5,1,???? ???? N,ritver,3,0
